ID,Neonic,Conc,Group,Lin,HatchDate,IntoPints,PupDate,DeathPreRX,DeathPostRX,TimePostRX,EclosDate,OEScore,Sex,WeightEclos,Day1Amount,Day2Amount,Day3Amount,Day4Amount,Day5Amount,TotalAmount,AverageAmount,Day2Loss,Day3Loss,Day4Loss,Day5Loss,Day2PerLoss,Day3PerLoss,Day4PerLoss,Day5PerLoss,WeightPostCages,SurvivedRX,FeedingDayDeath,DeathResultofRX,DateFirstFeeding,DateIntoCages,Matings,NumberMated,DateInOv,DateOutOV,Eggs,EggScore,Contact,Feeding,Flying,Mating,Notes
23,CL,0,CL0,F,5/12/2019,5/14/2019,5/23/2019,,7/5/2019,30,6/1/2019,0,M,0.5973,0.1067,0.1615,0.1189,0.1726,0.1732,0.7329,0.14658,0.0374,0.0153,0.0406,-0.0104,0.070940819,0.03123724,0.085563751,-0.023968656,0.6061,1,,,6/5/2019,6/14/2019,3,,,,,,3,0,30,600,
24,CL,0,CL0,F,5/12/2019,5/14/2019,5/22/2019,,7/8/2019,34,5/31/2019,0,F,0.5174,0.1221,0.1082,0.1724,0.1505,0.1672,0.7204,0.14408,0.0382,0.0207,0.0094,-0.0081,0.079616507,0.046875,0.022333096,-0.019684083,0.6474,1,,,6/4/2019,6/14/2019,1,,,,,,0,35,207,0,
25,CL,0,CL0,F,5/12/2019,5/14/2019,5/23/2019,,6/27/2019,22,6/1/2019,0,M,0.6918,0.0819,0.0921,0.0981,0.1233,0.1215,0.5169,0.10338,0.0637,-0.0003,0.0316,0.0162,0.106789606,-0.000563063,0.059275933,0.032303091,0.512,1,,,6/5/2019,6/14/2019,1,,,,,,0,0,29,0,
26,CL,0,CL0,F,5/12/2019,5/14/2019,5/22/2019,,7/17/2019,42,6/1/2019,0,F,0.6709,0.0615,0.118,0.1262,0.1156,0.1321,0.5534,0.11068,0.0408,0.0087,0.0306,0.0125,0.070175439,0.01609323,0.057529611,0.024935169,0.8618,1,,,6/5/2019,6/14/2019,2,,,,,,5,0,5,0,
27,CL,0,CL0,F,5/12/2019,5/14/2019,5/22/2019,,6/28/2019,24,6/1/2019,0,F,0.6331,0.115,0.0757,0.1142,0.1508,0.1466,0.6023,0.12046,0.04,0.0323,0.072,0.0181,0.068929864,0.059781603,0.141732283,0.041513761,0.5629,1,,,6/4/2019,6/14/2019,1,,,,,,20,30,92,0,
28,CL,0,CL0,F,5/12/2019,5/15/2019,5/22/2019,,7/20/2019,45,6/1/2019,0,F,0.5879,0.1446,0.1561,0.1198,0.2298,0.1785,0.8288,0.16576,0.0291,0.0068,0.0176,-0.0245,0.056780488,0.014067025,0.036928242,-0.053376906,1.0357,1,,,6/5/2019,6/14/2019,1,,,,,,0,600,0,0,
29,CL,0,CL0,F,5/12/2019,5/15/2019,5/23/2019,,6/27/2019,23,6/1/2019,0,M,0.698,0.0559,0.0857,0.1712,0.1642,0.1595,0.6365,0.1273,0.072,0.0425,0.0594,-0.0025,0.108975329,0.072192968,0.108751373,-0.005135579,0.5775,1,,,6/4/2019,6/14/2019,1,,,,,,2,0,43,0,
30,CL,0,CL0,G,5/12/2019,5/15/2019,5/22/2019,,6/28/2019,24,5/31/2019,0,M,0.6336,0.0862,0.0901,0.1426,0.1466,0.1504,0.6159,0.12318,0.0733,0.0226,0.0597,-0.015,0.124596294,0.043883495,0.121242892,-0.03466605,0.4653,1,,,6/4/2019,6/14/2019,5,,,,,,0,0,45,1200,
31,CL,0,CL0,G,5/12/2019,5/15/2019,,5/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
32,CL,0,CL0,G,5/12/2019,5/15/2019,5/22/2019,,7/7/2019,33,6/1/2019,0,F,0.4737,0.0992,0.0926,0.1279,0.1383,0.1353,0.5933,0.11866,0.0301,0.0224,0.0232,-0.0076,0.066343399,0.052880076,0.05782652,-0.02010582,0.5768,1,,,6/4/2019,6/14/2019,1,,,,,,10,180,60,0,
33,CL,0,CL0,G,5/12/2019,5/15/2019,5/24/2019,,6/23/2019,18,6/2/2019,0,M,0.6076,0.0428,0.1258,0.1021,0.1614,0.1701,0.6022,0.12044,0.0481,0.0108,0.0556,-0.0176,0.08567866,0.021040327,0.110646766,-0.039382412,0.4576,1,,,6/5/2019,6/14/2019,3,,,,,,120,0,55,0,
34,CL,0,CL0,G,5/12/2019,5/15/2019,5/22/2019,,7/15/2019,40,6/3/2019,0,F,0.6385,0.0958,0.1532,0.1833,0.2009,0.1962,0.8294,0.16588,0.0611,0.0174,0.0326,-0.0086,0.095693031,0.030135088,0.058214286,-0.016306409,0.8457,1,,,6/5/2019,6/14/2019,1,,,,,,0,180,112,0,
35,CL,0,CL0,G,5/12/2019,5/15/2019,5/22/2019,,6/24/2019,20,6/1/2019,0,M,0.7728,0.0353,0.087,0.1962,0.218,0.2694,0.8059,0.16118,0.1003,0.0433,0.0293,-0.0298,0.136425462,0.068199716,0.049526707,-0.052996621,0.5538,1,,,6/4/2019,6/14/2019,1,,,,,,70,10,23,0,
36,CL,0,CL0,G,5/12/2019,5/15/2019,5/22/2019,5/23/2019,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
37,CL,19,CL025,A,5/12/2019,5/14/2019,5/23/2019,,7/3/2019,28,6/3/2019,0,M,0.7151,0.061,0.1713,0.2877,0.3445,0.2152,1.0797,0.21594,0.0718,0.0293,0.0238,-0.0168,0.100405538,0.045546401,0.038762215,-0.028464927,0.6833,1,,,6/5/2019,6/14/2019,6,,,,,,3,180,10,1800,
38,CL,19,CL025,A,5/12/2019,5/14/2019,5/23/2019,,7/13/2019,38,6/2/2019,0,F,0.6933,0.043,0.0937,0.186,0.1926,0.2636,0.7789,0.15578,0.0598,0.033,0.077,-0.0153,0.089722431,0.054392616,0.134216489,-0.030803302,0.972,1,,,6/5/2019,6/14/2019,2,,,,,,0,600,3,600,
39,CL,19,CL025,A,5/12/2019,5/14/2019,5/22/2019,,7/13/2019,39,6/1/2019,0,F,0.6895,0.1572,0.0556,0.1902,0.1654,0.1801,0.7485,0.1497,0.0528,0.0672,0.0621,-0.0213,0.080097087,0.110817942,0.115170623,-0.044644729,0.5791,1,,,6/4/2019,6/14/2019,6,6,6/24/2019,6/27/2019,0,0,11,240,7,1800,
40,CL,19,CL025,A,5/12/2019,5/14/2019,5/22/2019,,7/3/2019,28,6/2/2019,0,F,0.5876,0.1112,0.2239,0.2673,0.3178,0.3433,1.2635,0.2527,0.0259,0.0153,0.0323,-0.0221,0.045759717,0.028328087,0.061547256,-0.044873096,0.6785,1,,,6/5/2019,6/14/2019,2,,,,,,0,0,27,1020,
41,CL,19,CL025,A,5/12/2019,5/14/2019,5/22/2019,,7/1/2019,26,6/2/2019,0,M,0.6495,0.1118,0.1326,0.2646,0.2616,0.2533,1.0239,0.20478,0.0338,0.02,0.0324,-0.0222,0.055156658,0.034542314,0.057960644,-0.042157235,0.5805,1,,,6/5/2019,6/14/2019,6,,,,,,5,360,0,1200,
42,CL,19,CL025,A,5/12/2019,5/15/2019,5/23/2019,,7/3/2019,28,6/2/2019,0,M,0.6532,0.0618,0.146,0.2278,0.2952,0.2845,1.0153,0.20306,0.0583,0.0142,0.0236,-0.0141,0.091955836,0.024665624,0.042030276,-0.026213051,0.7103,1,,,6/5/2019,6/14/2019,0,,,,,,0,1200,0,0,
43,CL,19,CL025,A,5/12/2019,5/15/2019,,5/18/2019,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Was squished into the lid
44,CL,19,CL025,B,5/12/2019,5/14/2019,,5/22/2019,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
45,CL,19,CL025,B,5/12/2019,5/14/2019,5/24/2019,,6/29/2019,24,6/2/2019,0,M,0.7027,0.0602,0.1054,0.1455,0.1875,0.0802,0.5788,0.11576,0.0481,0.0375,0.0241,-0.0184,0.071855393,0.060357315,0.041281261,-0.032874754,0.5301,1,,,6/5/2019,6/14/2019,7,,,,,,28,60,69,1800,
46,CL,19,CL025,B,5/12/2019,5/14/2019,5/22/2019,,7/7/2019,33,5/31/2019,0,F,0.5742,0.1597,0.1432,0.1974,0.2154,0.2855,1.0012,0.20024,0.0214,0.0178,0.0388,-0.0428,0.040218004,0.034854122,0.078717793,-0.094252367,0.8859,1,,,6/4/2019,6/14/2019,7,7,6/21/2019,6/24/2019,2,2,1,0,20,2400,
